Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_11006001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","96.91000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_12093004_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","96.20000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1002_7_ALT_H_hrsAbove_2025","Yes","ZON_ES1002","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_28005002_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","46.00000000","96.44000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES1308_7_LTO_H_daysAbove_2025","Yes","ZON_ES1308","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08137001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","3.00000000","98.87000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES0908_7_INT_H_hrsAbove_2025","Yes","ZON_ES0908","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_29067006_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","97.02000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0119_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0119","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_04902001_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","78.36000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0122_10_LV_H_daysAbove_2025","Yes","ZON_ES0122","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_41088001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","95.48000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08019050_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","99.25000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0901_7_INT_H_hrsAbove_2025","Yes","ZON_ES0901","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11020003_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","94.63000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0124_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0124","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07040003_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","0.00000000","98.90000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0401_7_LTO_H_daysAbove_2025","Yes","ZON_ES0401","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08205002_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","22.00000000","98.63000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES0902_7_LTO_H_daysAbove_2025","Yes","ZON_ES0902","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11006001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","96.91000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_INT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11008009_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","84.74000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03133002_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","99.46000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1013_7_ALT_H_hrsAbove_2025","Yes","ZON_ES1013","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_24064001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.44000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0820_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0820","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_46077006_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","7.00000000","93.70000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES1010_7_LTO_H_daysAbove_2025","Yes","ZON_ES1010","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
