Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_25224999_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","18679.00000000","98.37000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","18679","ARE_ES0914_7_LTO_V_AOT40c_2024","No","ZON_ES0914","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07003004_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","8633.00000000","95.47000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","14771","ARE_ES0413_7_LTO_V_AOT40c_2024","No","ZON_ES0413","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_37274011_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","12.00000000","99.18000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","12","ARE_ES0803_7_LTO_H_daysAbove_2024","No","ZON_ES0803","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","12","ARE_ES0501_5_LV_H_daysAbove_2024","No","ZON_ES0501","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_46028001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","2.00000000","92.08000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","5","ARE_ES1005_7_LTO_H_daysAbove_2024","No","ZON_ES1005","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_04022001_14_6","O3","Ozone (air)","AOT40c-P5Y","AOT40 vegetation protection averaged over 5 years","2024","21104.00000000","93.88000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","18000","true","true","22859","ARE_ES0130_7_TV_V_AOT40c-5yr_2024","No","ZON_ES0130","Vegetation","Target Value (TV)","AOT40 vegetation protection averaged over 5 years","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03065006_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","8.00000000","96.72000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","8","ARE_ES1013_7_LTO_H_daysAbove_2024","No","ZON_ES1013","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","39.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","68","ARE_ES0508_5_LV_H_daysAbove_2024","No","ZON_ES0508","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_28106001_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","16150.00000000","97.01000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","20644","ARE_ES1309_7_LTO_V_AOT40c_2024","No","ZON_ES1309","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","47.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","33","ARE_ES0513_5_LV_H_daysAbove_2024","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
