Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_28120001_9_49,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,5.0,98.34,Aggregation calculated by the EEA based on reported time series,ug.m-3,25.0,False,False,6.9,ARE_ES1311_6001_LV_H_aMean_2020,No,ZON_ES1311,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,123659.0,SIERRA NORTE,1.0184451460288224
Spain,Fixed measurement,Sampling Point,SP_17079003_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,2020,19.0,99.23,Aggregation calculated by the EEA based on reported time series,ug.m-3,40.0,False,False,19.0,ARE_ES0908_8_LV_H_aMean_2020,No,ZON_ES0908,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,444963.0,COMARQUES DE GIRONA,2.6829538523106558
Spain,Objective estimation,Sampling Point,SP_07010001_17_M,As in PM10,Arsenic in PM10 (aerosol),P1Y,Annual mean / 1 calendar year,2020,0.0,8.2,Aggregation calculated by the EEA based on reported time series,ng.m-3,6.0,False,False,0.1,ARE_ES0402_5018_TV_H_aMean_2020,No,ZON_ES0402,Health,Target Value (TV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,58146.0,SIERRA DE TRAMUNTANA,0.0
Spain,Fixed measurement,Sampling Point,SP_34120008_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,7.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,False,False,12.0,ARE_ES0823_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0823,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,362066.0,DUERO NORTE DE CYL,1.5564605683417845
Spain,Fixed measurement,Sampling Point,SP_03133002_8_8,NO2,Nitrogen dioxide (air),P1Y-hrsAbove200,1 year hour exceed 200,2020,0.0,99.19,Aggregation calculated by the EEA based on reported time series,count,18.0,False,False,0.0,ARE_ES1013_8_LV_H_hrsAbove_2020,No,ZON_ES1013,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,769752.0,SEGURA-VINALOPO. AREA COSTERA,0.0
Spain,Fixed measurement,Sampling Point,SP_26117001_10_49,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,3.0,96.99,Aggregation calculated by the EEA based on reported time series,count,35.0,False,False,4.0,ARE_ES1705_5_LV_H_daysAbove_2020,No,ZON_ES1705,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,154369.0,LA RIOJA,0.444733722069777
Spain,Objective estimation,Sampling Point,SP_19046001_28_M,Cd in PM10,Cadmium in PM10 (aerosol),P1Y,Annual mean / 1 calendar year,2020,0.0,4.37,Aggregation calculated by the EEA based on reported time series,ng.m-3,5.0,False,False,0.059,ARE_ES0727_5014_TV_H_aMean_2020,No,ZON_ES0727,Health,Target Value (TV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,2078534.0,CASTILLA LA MANCHA,0.0
Spain,Fixed measurement,Sampling Point,SP_08019044_1_38,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,2020,0.0,99.18,Aggregation calculated by the EEA based on reported time series,count,3.0,False,False,0.0,ARE_ES0901_1_LV_H_daysAbove_2020,No,ZON_ES0901,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,2951074.0,AREA DE BARCELONA,0.0
Spain,Objective estimation,Sampling Point,SP_07026002_19_M,Pb in PM10,Lead in PM10 (aerosol),P1Y,Annual mean / 1 calendar year,2020,0.0,8.2,Aggregation calculated by the EEA based on reported time series,ug.m-3,0.5,False,False,0.0026,ARE_ES0411_5012_LV_H_aMean_2020,No,ZON_ES0411,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,52148.0,EIVISSA,0.0
Spain,Fixed measurement,Sampling Point,SP_33024031_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,0.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,False,False,2.0,ARE_ES0309_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0309,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,278230.0,AREA GIJON,0.0
